EY_PV_Serial_Number,Parent Facility,Grouped / Standalone,Site Type,"Site Name 
(English)",City,latitude,longitude,Site Status,Year of Construction
176,Standalone,Standalone,WATER FILLING STATION (WFLS),Al Hanakiyah Governorate / Al-Hameej Sheeb and Reservoir(Tank),Al Henakiyah,25.031788,41.223062,Working,2011
177,Standalone,Standalone,WATER FILLING STATION (WFLS),Al Hanakiyah Governorate / Al-Muhamah Sheeb and Reservoir(Tank),Al Henakiyah,24.753889,41.605537,Working,2010
178,Standalone,Standalone,WATER FILLING STATION (WFLS),Al Hanakiyah Governorate / Hozra Sheeb and Reservoir(Tank),Al Henakiyah,24.079952,40.477374,Working,2011
179,Standalone,Standalone,WATER FILLING STATION (WFLS),Al Hanakiyah Governorate / Addameeriya Sheeb and Reservoir(Tank),Al Henakiyah,23.937807,40.330856,Working,2011
180,Standalone,Standalone,WATER FILLING STATION (WFLS),Al Hanakiyah Governorate / Al-Hasso Sheeb and Reservoir(Tank),Al Henakiyah,24.600021,41.612676,Working,2010
181,Standalone,Standalone,WATER FILLING STATION (WFLS),Al Hanakiyah Governorate / Talal Sheeb and Reservoir(Tank),Al Henakiyah,24.667086,41.954205,Working,2007
245,Standalone,Standalone,WELL ABSTRACTION (WABS),North Medesis M1 Water Field,Al Henakiyah,24.891861,40.411849,Out of Service,2007
246,Standalone,Standalone,WELL ABSTRACTION (WABS),North Medesis M2+F493 Water Field,Al Henakiyah,24.911293,40.394265,Out of Service,2011
247,Standalone,Standalone,WELL ABSTRACTION (WABS),South Medesis Well,Al Henakiyah,24.842629,40.468638,Out of Service,1999
248,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Naemeh 1 Well,Al Henakiyah,24.468483,40.08775,Out of Service,2007
251,Standalone,Standalone,WELL ABSTRACTION (WABS),Arja Well,Al Henakiyah,25.354224,40.997496,Out of Service,2007
252,Standalone,Standalone,WELL ABSTRACTION (WABS),Talal Water Project (100 m3/d Plant + 1 Well),Al Henakiyah,24.66708,41.954016,Working,2007
253,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Hasso  Well 2,Al Henakiyah,24.604056,41.606778,Working,2007
254,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Shaqran Well ,Al Henakiyah,25.015617,40.696683,Out of Service,2020
255,Standalone,Standalone,WELL ABSTRACTION (WABS),Hadban Well 1,Al Henakiyah,24.798417,41.706933,Out of Service,2020
256,Standalone,Standalone,WELL ABSTRACTION (WABS),Purification plant (300 m3 / day + 1 well),Al Henakiyah,24.8541033,40.4823295,Out of Service,2015
