EY_PV_Serial_Number,Parent Facility,Grouped / Standalone,Site Type,"Site Name 
(English)",City,latitude,longitude,Site Status,Year of Construction
139,Standalone,Standalone,WATER FILLING STATION (WFLS),Medina Governorate / Sheeb Al-Buweir ,Al Madinah,24.94768629,38.98939614,Out of Service,2015
140,Standalone,Standalone,WATER FILLING STATION (WFLS),Medina Governorate / Sheeb Shuran  ,Al Madinah,24.403873,39.611842,CWIP,2021
141,Standalone,Standalone,WATER FILLING STATION (WFLS),Medina Governorate /  East of the city Sheeb ,Al Madinah,24.4750646,39.7770092,CWIP,2021
205,Standalone,Standalone,WELL ABSTRACTION (WABS),The second field  Well No. 315,Al Madinah,24 10 40,39 41 01,Transfer to other department,1991
206,Standalone,Standalone,WELL ABSTRACTION (WABS),The second field  Well No. 316,Al Madinah,24 10 25,39 41 03,Transfer to other department,1992
207,Standalone,Standalone,WELL ABSTRACTION (WABS),The second field  Well No. 320,Al Madinah,24 10 19,39 40 39,Transfer to other department,1992
208,Standalone,Standalone,WELL ABSTRACTION (WABS),The second field  Well No. 324,Al Madinah,24 10 41,39 40 45,Transfer to other department,1992
209,Standalone,Standalone,WELL ABSTRACTION (WABS),The second field  Well No. 328,Al Madinah,24 11 11,39 40 55,Transfer to other department,1992
210,Standalone,Standalone,WELL ABSTRACTION (WABS),The second field  Well No. 412,Al Madinah,24.0936,39.4211,Out of Service,2003
211,Standalone,Standalone,WELL ABSTRACTION (WABS),The second field  Well No. 413,Al Madinah,24 10 25.4,39 41 33,Transfer to other department,2003
212,Standalone,Standalone,WELL ABSTRACTION (WABS),The second field  Well No. 414,Al Madinah,24.1328,39.70306,Out of Service,2003
213,Standalone,Standalone,WELL ABSTRACTION (WABS),The second field  Well No. 431,Al Madinah,24 12 3,39 40 45.5,Transfer to other department,2004
214,Standalone,Standalone,WELL ABSTRACTION (WABS),The third field Well No. 374,Al Madinah,24 07 04,39 42 51,Working,1994
215,Standalone,Standalone,WELL ABSTRACTION (WABS),The third field Well No. 375,Al Madinah,24.063,39.4256,Out of Service,1994
216,Standalone,Standalone,WELL ABSTRACTION (WABS),The third field Well No. 390,Al Madinah,24 06 58,39 43 16,Working,1994
217,Standalone,Standalone,WELL ABSTRACTION (WABS),The third field Well No. 391,Al Madinah,24 07 35,39 42 24,Working,1994
218,Standalone,Standalone,WELL ABSTRACTION (WABS),The third field Well No. 393,Al Madinah,24 07 15,39 42 26,Working,1994
219,Standalone,Standalone,WELL ABSTRACTION (WABS),The third field Well No. 394,Al Madinah,24 07 05,39 43 33,Working,1994
220,Standalone,Standalone,WELL ABSTRACTION (WABS),The third field Well No. 395,Al Madinah,24 07 18,39 43 26,Working,1994
221,Standalone,Standalone,WELL ABSTRACTION (WABS),The third field Well No. 397,Al Madinah,24 07 01,39 43 47,Working,1994
222,Standalone,Standalone,WELL ABSTRACTION (WABS),The third field Well No. 398,Al Madinah,24 07 09,39 42 07,Working,1994
223,Standalone,Standalone,WELL ABSTRACTION (WABS),The third field Well No. 399,Al Madinah,24 07 03,39 41 44,Working,1994
224,Standalone,Standalone,WELL ABSTRACTION (WABS),The third field Well No. 402,Al Madinah,24 07 19,39 41 39,Working,1994
225,Standalone,Standalone,WELL ABSTRACTION (WABS),The third field Well No. 412,Al Madinah,24 07 42,39 41 47,Working,1994
226,Standalone,Standalone,WELL ABSTRACTION (WABS),The third field Well No. 415,Al Madinah,24 08 2.4,39 42 34,Working,2003
227,Standalone,Standalone,WELL ABSTRACTION (WABS),The third field Well No. 421,Al Madinah,24 08 11,39 41 38.5,Working,2004
228,Standalone,Standalone,WELL ABSTRACTION (WABS),The third field Well No. 422,Al Madinah,24 08 15.5,39 41 22,Working,2004
229,Standalone,Standalone,WELL ABSTRACTION (WABS),The third field Well No. 423,Al Madinah,24 08 19.7,39 42 5.3,Working,2004
230,Standalone,Standalone,WELL ABSTRACTION (WABS),The third field Well No. 424,Al Madinah,24 08 26.7,39 41 47.5,Working,2004
231,Standalone,Standalone,WELL ABSTRACTION (WABS),The third field Well No. 426,Al Madinah,24.141802,39.691742,Working,2004
232,Standalone,Standalone,WELL ABSTRACTION (WABS),The fourth  field Well No. 440,Al Madinah,24 09 14,39 44 32,Working,2012
233,Standalone,Standalone,WELL ABSTRACTION (WABS),The fourth  field Well No. 445,Al Madinah,24 09 01,39 45 13,Working,2012
234,Standalone,Standalone,WELL ABSTRACTION (WABS),The fourth  field Well No. 451,Al Madinah,24 09 50,39 43 33,Working,2012
235,Standalone,Standalone,WELL ABSTRACTION (WABS),The fourth  field Well No. 456,Al Madinah,24 09 39,39 43 46,Working,2012
236,Standalone,Standalone,WELL ABSTRACTION (WABS),The fourth  field Well No. 458,Al Madinah,24 08 52,39 43 59,Working,2012
237,Standalone,Standalone,WELL ABSTRACTION (WABS),The fourth  field Well No. 459,Al Madinah,24 08 36,39 43 48,Working,2012
238,Standalone,Standalone,WELL ABSTRACTION (WABS),The fourth  field Well No. 460,Al Madinah,24 10 19,39 44 22,Working,2012
239,Standalone,Standalone,WELL ABSTRACTION (WABS),The fourth  field Well No. 468,Al Madinah,24 10 02,39 43 45,Working,2012
240,Standalone,Standalone,WELL ABSTRACTION (WABS),The fourth  field Well No. 470,Al Madinah,24 05 05.08,39 43 43.00,Out of Service,2012
241,Standalone,Standalone,WELL ABSTRACTION (WABS),The fifth field Well No. 472,Al Madinah,24 05 01.2,39 44 09.8,Working,2013
242,Standalone,Standalone,WELL ABSTRACTION (WABS),The fifth field Well No. 473,Al Madinah, 24 07 42.4, 39 45 32.9,Working,2013
257,Standalone,Standalone,WELL ABSTRACTION (WABS),"The first field , Well number 347",Al Madinah,24 17 19,39 39 30,Working,1992
258,Standalone,Standalone,WELL ABSTRACTION (WABS),"The fifth field , Well No. 474",Al Madinah, 24 07 50.7,39 45 50.2,Working,2013
259,Standalone,Standalone,WELL ABSTRACTION (WABS),"The fifth field , Well No. 476",Al Madinah, 24 07 20.3, 39 45 54.0,Working,2013
260,Standalone,Standalone,WELL ABSTRACTION (WABS),"The fifth field , Well No. 479",Al Madinah, 24 06 53.5, 39 45 06.6,Working,2013
261,Standalone,Standalone,WELL ABSTRACTION (WABS),"The fifth field , Well No. 480",Al Madinah, 24 06 46.2, 39 45 31.1,Working,2013
262,Standalone,Standalone,WELL ABSTRACTION (WABS),"The fifth field , Well No. 482",Al Madinah, 24 06 02.8, 39 46 11.0,Working,2013
263,Standalone,Standalone,WELL ABSTRACTION (WABS),"The fifth field , Well No. 484",Al Madinah, 24 05 13.0, 39 45 14.6,Working,2013
264,Standalone,Standalone,WELL ABSTRACTION (WABS),"The fifth field , Well No. 485",Al Madinah, 24 05 16.0, 39 44 56.9,Working,2013
265,Standalone,Standalone,WELL ABSTRACTION (WABS),"The fifth field , Well No. 486",Al Madinah, 24 05 14.1, 39 44 35.0,Working,2013
266,Standalone,Standalone,WELL ABSTRACTION (WABS),"The fifth field , Well No. 487",Al Madinah, 24 05 04.9, 39 44 25.6,Working,2013
267,Standalone,Standalone,WELL ABSTRACTION (WABS),"The fifth field , Well No. 488",Al Madinah, 24 05 37.7, 39 43 39.4,Working,2013
268,Standalone,Standalone,WELL ABSTRACTION (WABS),"The fifth field , Well No. 489",Al Madinah,24 06 36.5 ,39 44 57.8,Working,2013
269,Standalone,Standalone,WELL ABSTRACTION (WABS),"The fifth field , Well No. 490",Al Madinah, 24 06 32.9, 39 44 45.6,Out of Service,2013
270,Standalone,Standalone,WELL ABSTRACTION (WABS),"The fifth field , Well No. 492",Al Madinah,24 07 03.1 ,39 44 52.5,Out of Service,2013
271,Standalone,Standalone,WELL ABSTRACTION (WABS),"The fifth field , Well No. 493",Al Madinah,24 07 22.0 ,39 45 36.7,Working,2013
272,Standalone,Standalone,WELL ABSTRACTION (WABS),"The fifth field , Well No. 494",Al Madinah,24 07 22.6 ,39 45 19.3,Working,2013
273,Standalone,Standalone,WELL ABSTRACTION (WABS),"The fifth field , Well No. 495",Al Madinah,24 07 28.1 ,39 45 01.2,Working,2013
274,Standalone,Standalone,WELL ABSTRACTION (WABS),"The fifth field , Well No. 496",Al Madinah,24 07 25.73,39 44 46.26,Working,2013
275,Standalone,Standalone,WELL ABSTRACTION (WABS),"The fifth field , Well No. 498",Al Madinah,24 07 13.9 ,39 44 38.1,Working,2013
276,Standalone,Standalone,WELL ABSTRACTION (WABS),"Sixth Field ,Well No. 554",Al Madinah,24 25 33.5,39 47 33,Working,2008
277,Standalone,Standalone,WELL ABSTRACTION (WABS),"Sixth Field ,Well No. 555",Al Madinah,24 25 22.65,39 4735.6,Working,2008
278,Standalone,Standalone,WELL ABSTRACTION (WABS),"Sixth Field ,Well No. 556",Al Madinah,24 25 10.7,39 47 45.5,Working,2008
279,Standalone,Standalone,WELL ABSTRACTION (WABS),"Sixth Field ,Well No. 557",Al Madinah,24 24 58.2,39 47 44,Working,2008
280,Standalone,Standalone,WELL ABSTRACTION (WABS),"Sixth Field ,Well No. 558",Al Madinah,24 25 1.6,39 47 58,Working,2008
281,Standalone,Standalone,WELL ABSTRACTION (WABS),"Sixth Field ,Well No. 561",Al Madinah,24 25 31.3,39 46 46.3,Working,2008
282,Standalone,Standalone,WELL ABSTRACTION (WABS),"Sixth Field ,Well No. 562",Al Madinah,24 25 9.60,39 46 37.30,Working,2008
283,Standalone,Standalone,WELL ABSTRACTION (WABS),"Sixth Field ,Well No. 563",Al Madinah,24 24 13.2,39 46 44,Working,2008
284,Standalone,Standalone,WELL ABSTRACTION (WABS),"The seventh field , Well number 1",Al Madinah,24 12 15.1,39 41 21.7,Transfer to other department,2018
285,Standalone,Standalone,WELL ABSTRACTION (WABS),"The seventh field , Well number 2",Al Madinah,24 12 04.2,39 41 16.7,Transfer to other department,2018
286,Standalone,Standalone,WELL ABSTRACTION (WABS),"The seventh field , Well number 3",Al Madinah,24 12 00.0,39 41 29.4 ,Transfer to other department,2018
287,Standalone,Standalone,WELL ABSTRACTION (WABS),"The seventh field , Well number 9",Al Madinah,24 11 49.9,39 42 49.5,Transfer to other department,2018
288,Standalone,Standalone,WELL ABSTRACTION (WABS),"The seventh field , Well number 10",Al Madinah,24 11 52.8,39 42 34.4,Transfer to other department,2018
289,Standalone,Standalone,WELL ABSTRACTION (WABS),"The seventh field , Well number 12",Al Madinah,24.19,39.68,Transfer to other department,2018
290,Standalone,Standalone,WELL ABSTRACTION (WABS),"The seventh field , Well number 13",Al Madinah,24.19,39.68,Transfer to other department,2018
291,Standalone,Standalone,WELL ABSTRACTION (WABS),"The seventh field , Well number 14",Al Madinah,24.21,39.69,Transfer to other department,2018
292,Standalone,Standalone,WELL ABSTRACTION (WABS),"The seventh field , Well number 15",Al Madinah,24 12 34.4,39 41 24.3,Transfer to other department,2018
293,Standalone,Standalone,WELL ABSTRACTION (WABS),"The seventh field , Well number 17",Al Madinah,24 12 29.8,39 40 54.2,Transfer to other department,2018
294,Standalone,Standalone,WELL ABSTRACTION (WABS),"The seventh field , Well number 19",Al Madinah,24.19,39.68,Transfer to other department,2018
295,Standalone,Standalone,WELL ABSTRACTION (WABS),"The seventh field , Well number 26",Al Madinah,24.19,39.68,Transfer to other department,2018
296,Standalone,Standalone,WELL ABSTRACTION (WABS),"The seventh field , Well number 30",Al Madinah,24 12 44.3,39 40 38.4,Transfer to other department,2018
297,Standalone,Standalone,WELL ABSTRACTION (WABS),"The seventh field , Well number 31",Al Madinah,24 11 10.5,39 40 51.1,Transfer to other department,2018
311,Standalone,Standalone,WELL ABSTRACTION (WABS),"The first field , Well No. 354  ",Al Madinah,24 17 51,39 38 36,Working,1993
312,Standalone,Standalone,WELL ABSTRACTION (WABS),"The first field , Well No. 359",Al Madinah,24.301387,39.647048,Working,1993
313,Standalone,Standalone,WELL ABSTRACTION (WABS),"The second field , Well No. 306",Al Madinah,24 09 50,39 42 20,Transfer to other department,1988
314,Standalone,Standalone,WELL ABSTRACTION (WABS),"The second field , Well No. 308",Al Madinah,24 09 46.8,39 40 58.4,Transfer to other department,1988
315,Standalone,Standalone,WELL ABSTRACTION (WABS),"The second field , Well No. 314",Al Madinah,24 9 46,39 42 34,Transfer to other department,1991
316,Standalone,Standalone,WELL ABSTRACTION (WABS),"The second field , Well No. 318",Al Madinah,24 10 29,39 40 31,Transfer to other department,1992
317,Standalone,Standalone,WELL ABSTRACTION (WABS),"The second field , Well No. 364",Al Madinah,24 11 22,39 40 48,Transfer to other department,1993
318,Standalone,Standalone,WELL ABSTRACTION (WABS),"The second field , Well No. 365",Al Madinah,24 11 20,39 40 39,Transfer to other department,1993
319,Standalone,Standalone,WELL ABSTRACTION (WABS),"The second field , Well No. 366",Al Madinah,24 11 30,39 40 38,Transfer to other department,1993
320,Standalone,Standalone,WELL ABSTRACTION (WABS),"The second field , Well No. 367",Al Madinah,24 11 19,39 41 05,Transfer to other department,1993
321,Standalone,Standalone,WELL ABSTRACTION (WABS),"The second field , Well No. 416",Al Madinah,24 09 55,39 41 43,Transfer to other department,2003
322,Standalone,Standalone,WELL ABSTRACTION (WABS),"The third field,Well No. 368",Al Madinah,24 06 47,39 42 33,Working,1994
323,Standalone,Standalone,WELL ABSTRACTION (WABS),"The third field,Well No. 372",Al Madinah,24 06 48,39 41 47,Working,1994
324,Standalone,Standalone,WELL ABSTRACTION (WABS),"The third field,Well No. 389",Al Madinah,24 06 50,39 42 55,Working,1994
325,Standalone,Standalone,WELL ABSTRACTION (WABS),"The third field,Well No. 392",Al Madinah,24 07 35,39 42 05,Working,1994
326,Standalone,Standalone,WELL ABSTRACTION (WABS),"The third field,Well No. 396",Al Madinah,24 07 26,39 43 42,Working,1994
327,Standalone,Standalone,WELL ABSTRACTION (WABS),"The third field,Well No. 400",Al Madinah,24 07 55,39 43 57,Working,1994
328,Standalone,Standalone,WELL ABSTRACTION (WABS),"The third field,Well No. 419",Al Madinah,24 08 03,39 42 16.5,Working,2004
329,Standalone,Standalone,WELL ABSTRACTION (WABS),"The third field,Well No. 420",Al Madinah,24 08 09,39 41 58.5,Working,2004
330,Standalone,Standalone,WELL ABSTRACTION (WABS),"The third field,Well No. 425",Al Madinah,24 08 30.4,39 41 30.3,Working,2004
331,Standalone,Standalone,WELL ABSTRACTION (WABS),"The third field,Well No. 427",Al Madinah,24 08 41.5,39 41 54.5,Working,2004
332,Standalone,Standalone,WELL ABSTRACTION (WABS),"The third field,Well No. 428",Al Madinah,24 09 26,39 43 57,Working,2004
333,Standalone,Standalone,WELL ABSTRACTION (WABS),Fourth Field Well No. 444,Al Madinah,24 09 46,39 44 26,Working,2012
334,Standalone,Standalone,WELL ABSTRACTION (WABS),Fourth Field Well No. 448,Al Madinah,24 08 36,39 44 10,Working,2012
335,Standalone,Standalone,WELL ABSTRACTION (WABS),Fourth Field Well No. 457,Al Madinah,24 09 12,39 43 57,Working,2012
345,Standalone,Standalone,WELL ABSTRACTION (WABS),Second Field Well No. 301,Al Madinah,24.1115,39.4016,Working,1988
346,Standalone,Standalone,WELL ABSTRACTION (WABS),Second Field Well No. 303,Al Madinah, 24 10 55,39 40 58,Transfer to other department,1988
347,Standalone,Standalone,WELL ABSTRACTION (WABS),Second Field Well No. 304,Al Madinah,24 10 51,39 39 06,Transfer to other department,1988
348,Standalone,Standalone,WELL ABSTRACTION (WABS),Second Field Well No. 305,Al Madinah,24 10 14,39 40 57,Transfer to other department,1988
349,Standalone,Standalone,WELL ABSTRACTION (WABS),Second Field Well No. 307,Al Madinah,24 11 17,39 41 12,Transfer to other department,1988
350,Standalone,Standalone,WELL ABSTRACTION (WABS),Second Field Well No. 312,Al Madinah,24 11 00,39 40 7,Transfer to other department,1991
351,Standalone,Standalone,WELL ABSTRACTION (WABS),Second Field Well No. 313,Al Madinah,24 11 9,39 40 37,Transfer to other department,1991
391,Standalone,Standalone,WELL ABSTRACTION (WABS), Bouat Well,Al Madinah,24.732193,39.165345,Working,2010
392,Standalone,Standalone,WELL ABSTRACTION (WABS),Shajwa Well 2,Al Madinah,25.008256,38.951175,Working,2014
411,Standalone,Standalone,WELL ABSTRACTION (WABS),"The fifth field , Well No. 475",Al Madinah, 24 07 37.4, 39 46 05.4,Working,2013
412,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Naqmi Well,Al Madinah,24.706762,39.63503,Working,2010
413,Standalone,Standalone,WELL ABSTRACTION (WABS),"The fifth field , Well No. 477",Al Madinah, 24 07 12.9, 39 45 45.5,Working,2013
414,Standalone,Standalone,WELL ABSTRACTION (WABS),Shajwa Well 1,Al Madinah,25.008204,38.950752,Working,2014
415,Standalone,Standalone,WELL ABSTRACTION (WABS),Shajwa Well 3,Al Madinah,25.009361,38.949889,Working,2014
416,Standalone,Standalone,WELL ABSTRACTION (WABS),"The fifth field , Well No. 478",Al Madinah, 24 07 11.4, 39 45 15.4,Working,2013
417,Standalone,Standalone,WELL ABSTRACTION (WABS),Shajwa Well 4,Al Madinah,25.0095,38.951611,Working,2014
418,Standalone,Standalone,WELL ABSTRACTION (WABS),"The fifth field , Well No. 481",Al Madinah, 24 06 22.9, 39 45 54.3,Working,2013
419,Standalone,Standalone,WELL ABSTRACTION (WABS),Shajwa Well 5,Al Madinah,25.00875,38.951778,Working,2014
420,Standalone,Standalone,WELL ABSTRACTION (WABS),"The fifth field , Well No. 491",Al Madinah,24 06 54.0 ,39 44 54.9,Out of Service,2013
421,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Boer Well 1,Al Madinah,24.947442,38.988658,Out of Service,2010
422,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Boer Well 2,Al Madinah,24.947094,38.989276,Working,2010
423,Standalone,Standalone,WELL ABSTRACTION (WABS),"Sixth Field , Well No. 559",Al Madinah,24 25 23.7,39 47 47,Working,2008
424,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Boer Well 3,Al Madinah,24.94769,38.988984,Working,2010
425,Standalone,Standalone,WELL ABSTRACTION (WABS),"The Seventh Field , Well No.16",Al Madinah,24 12 29.8,39 41 09.3,Transfer to other department,2018
427,Standalone,Standalone,WELL ABSTRACTION (WABS),"The Seventh Field , Well No.18",Al Madinah,24 11 38.6,39 41 11.1,Transfer to other department,2018
428,Standalone,Standalone,WELL ABSTRACTION (WABS),"The Seventh Field , Well No.29",Al Madinah,24 12 29.8,39 40 39.8,Transfer to other department,2018
527,Standalone,Standalone,WELL ABSTRACTION (WABS),"Al-Haram Station Wells, Well No.3",Al Madinah,24.4616972,39.6158889,Transfer to other department,2008
528,Standalone,Standalone,WELL ABSTRACTION (WABS),"Al-Haram Station Wells, Well No.4",Al Madinah,24.4616972,39.6158889,Transfer to other department,2008
529,Standalone,Standalone,WELL ABSTRACTION (WABS),"Al-Haram Station Wells, Well No.7",Al Madinah,24.4673639,39.607785,Transfer to other department,2000
530,Standalone,Standalone,WELL ABSTRACTION (WABS),"Al-Haram Station Wells, Well No.8",Al Madinah,24.4673639,39.607785,Transfer to other department,2000
531,Standalone,Standalone,WELL ABSTRACTION (WABS),"Al-Haram Station Wells, Well No.9",Al Madinah,24.4673639,39.607785,Transfer to other department,2000
532,Standalone,Standalone,WELL ABSTRACTION (WABS),"Al-Haram Station Wells, Well No.10",Al Madinah,24.4673639,39.607785,Transfer to other department,2000
533,Standalone,Standalone,WELL ABSTRACTION (WABS),"Al-Haram Station Wells, Well No.11",Al Madinah,24.4673639,39.607785,Transfer to other department,2000
534,Standalone,Standalone,WELL ABSTRACTION (WABS),"Al-Haram Station Wells, Well No.12",Al Madinah,24.4673639,39.607785,Transfer to other department,2000
535,Standalone,Standalone,WELL ABSTRACTION (WABS),"Al-Haram Station Wells, Well No.13",Al Madinah,24.4673639,39.607785,Transfer to other department,2000
536,Standalone,Standalone,WELL ABSTRACTION (WABS),"Al-Haram Station Wells, Well No.14",Al Madinah,24.4673639,39.607785,Transfer to other department,2000
537,Standalone,Standalone,WELL ABSTRACTION (WABS),"Al-Haram Station Wells, Well No.15",Al Madinah,24.4673639,39.607785,Transfer to other department,2000
538,Standalone,Standalone,WELL ABSTRACTION (WABS),"Al-Haram Station Wells, Well No.16",Al Madinah,24.4673639,39.607785,Transfer to other department,2000
539,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Seih Well Station well No. 6,Al Madinah,24 28 07.7,39 36 01.1,Working,2000
540,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Seih Well Station well No. 7,Al Madinah,24 28 08.0,39 36 00.4,Working,2017
541,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Seih Well Station well No. 8,Al Madinah,24 28 08.8,39 35 58.9,Working,2017
542,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Seih Well Station well No. 9,Al Madinah,24 28 09.1,39 35 58.2,Working,2017
543,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Seih Well Station well No. 10,Al Madinah,24 28 09.5,39 35 57.1,Working,2017
544,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Seih Well Station well No. 11,Al Madinah,24 28 08.8,39 35 57.1,Working,2017
545,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Aqul Field Well No. 550,Al Madinah,24 27 22.5,39 45 47.5,Working,2008
546,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Aqul Field Well No. 551,Al Madinah, 24 27 17,39 46 0.3,Working,2008
547,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Aqul Field Well No. 552,Al Madinah,24 26 55.5,39 46 16.5,Working,2008
548,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Aqul Field Well No. 553,Al Madinah,24 26 1.8,39 47 19.5,Working,2008
549,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Aqul Field Well No. 554,Al Madinah,24 25 33.5,39 47 33,Out of Service,2008
550,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Aqul Field Well No. 555,Al Madinah,24 25 22.65,39 4735.6,Out of Service,2008
551,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Aqul Field Well No. 556,Al Madinah,24 25 10.7,39 47 45.5,Out of Service,2008
552,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Aqul Field Well No. 557,Al Madinah,24 24 58.2,39 47 44,Out of Service,2008
553,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Aqul Field Well No. 558,Al Madinah,24 25 1.6,39 47 58,Out of Service,2008
554,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Aqul Field Well No. 559,Al Madinah,24 25 23.7,39 47 47,Out of Service,2008
555,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Aqul Field Well No. 560,Al Madinah,24 25 48,39 46 34.5,Working,2008
556,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Aqul Field Well No. 561,Al Madinah,24 25 31.3,39 46 46.3,Out of Service,2008
557,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Aqul Field Well No. 562,Al Madinah,24 25 9.60,39 46 37.30,Out of Service,2008
558,Standalone,Standalone,WELL ABSTRACTION (WABS),Al-Aqul Field Well No. 563,Al Madinah,24 24 13.2,39 46 44,Out of Service,2008
866,Standalone,Standalone,WASTE WATER TREATMENT PLANT (WWTP),Al-Khaleel,Al Madinah,24.555694,39.597346,Working,1988
867,Standalone,Standalone,WASTE WATER TREATMENT PLANT (WWTP),Medina Khalil 2,Al Madinah,24.555694,39.597346,CWIP,2021
875,Standalone,Standalone,WASTE WATER TREATMENT PLANT (WWTP),Industrial ,Al Madinah,24.555694,39.597346,Working,2017
876,Standalone,Standalone,WASTE WATER PUMPING STATION (WWPS),Al-Mughisila Mughisila District,Al Madinah,24.456848,39.604904,Working,1990
877,Standalone,Standalone,WASTE WATER PUMPING STATION (WWPS),"Al-Jurf scheme
(Ground water only)",Al Madinah,24.518616,39.568104,Transfer to other department,1995
878,Standalone,Standalone,WASTE WATER PUMPING STATION (WWPS),"Aldakhil
Tabuk road",Al Madinah,24.492645,39.571079,Working,2004
879,Standalone,Standalone,WASTE WATER PUMPING STATION (WWPS),Bir Uthman... Sherbiny scheme,Al Madinah,24.497219,39.577503,Working,2005
880,Standalone,Standalone,WASTE WATER PUMPING STATION (WWPS),Naseem …. (Al-Azhari),Al Madinah,24.501966,39.584785,Working,2002
898,898,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Alsuwaydriah Operational Tank 2,Al Madinah,24.703368,40.089807,Working,2013
916,Standalone,Standalone,POTABLE WATER STORAGE TANKS (WTNK),Almulaylih Tank 1,Al Madinah,24.811611,39.164215,Standby,2000
933,Standalone,Standalone,POTABLE WATER STORAGE TANKS (WTNK),Abyar Al-Mashi Reservoir No. 2,Al Madinah, 24.185813°, 39.682106°,Working,2010
934,79,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Alhajaj Tank 1,Al Madinah,24.470431,39.542852,Standby,1982
935,79,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Alhajaj Tank 2,Al Madinah,24.470568,39.542314,Working,1992
936,936,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Aljarf Tank,Al Madinah,24.519028,39.546853,Working,2003
938,938,Grouped,POTABLE WATER STORAGE TANKS (WTNK),East Reservoir 1,Al Madinah,24.474898,39.776988,Working,2013
939,939,Grouped,POTABLE WATER STORAGE TANKS (WTNK),High Pressure Tank 1,Al Madinah,24.375155,39.622655,Working,1993
940,939,Grouped,POTABLE WATER STORAGE TANKS (WTNK),High pressure tank 2,Al Madinah,24.375289,39.624683,Working,1993
941,939,Grouped,POTABLE WATER STORAGE TANKS (WTNK),High Pressure Tank 3,Al Madinah,24.37344,39.62283,Working,1993
942,3,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Tank Mount Salaa 1,Al Madinah,24.472694,39.59977,Working,1977
943,3,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Tank Mount Salaa 2,Al Madinah,24.472739,39.601107,Working,1982
944,3,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Tank Mount Salaa 3,Al Madinah,24.472147,39.601232,Out of Service,1982
945,945,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Low pressure tank 3,Al Madinah,24.401301,39.611981,Working,1993
946,134,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Shajawa Reservoir,Al Madinah,25.008532,38.95089,Working,2014
947,947,Grouped,POTABLE WATER STORAGE TANKS (WTNK),South Reservoir 1,Al Madinah,24.326716,39.637484,Working,1990
948,947,Grouped,POTABLE WATER STORAGE TANKS (WTNK),South Reservoir 4,Al Madinah,24.32521,39.640529,Working,1993
952,Standalone,Standalone,POTABLE WATER STORAGE TANKS (WTNK),Alsidra Reservoir,Al Madinah,23.326595,40.234499,Working,2007
960,17,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Alboer Tank purification plant product,Al Madinah,24.947286,38.989193,Working,2010
963,2134,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Wadi Hazem Reservoir,Al Madinah,23.304537,40.092142,Working,2009
991,Standalone,Standalone,POTABLE WATER STORAGE TANKS (WTNK),Alfreish Reservoir,Al Madinah,24.188842,39.2784,Working,2012
994,994,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Almousayjid Reservoir 2,Al Madinah,24.811585,39.164524,Working,2013
1004,Standalone,Standalone,POTABLE WATER STORAGE TANKS (WTNK),Bouat Well Reservoir,Al Madinah,24.732054,39.165402,Out of Service,1995
1023,Standalone,Standalone,POTABLE WATER STORAGE TANKS (WTNK),Abiar Almashi tank No.1,Al Madinah,24.284274,39.659808,Transfer to other department,1992
1024,1024,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Alashera Tanks 1,Al Madinah, 24.125886°, 39.717077°,Working,2010
1025,1024,Grouped,POTABLE WATER STORAGE TANKS (WTNK),Alashera Tanks 2,Al Madinah, 24.125957°, 39.717380°,Working,2015
